order_id,customer_id,order_date,total_amount,status_id
1,1,2024-02-20,50,2
2,2,2024-02-20,30,1
9,1,2024-03-12,30,4
10,2,2024-03-12,20,4
11,2,2024-03-12,35,4
12,2,2024-03-12,25,4
13,4,2024-03-12,30,4
14,4,2024-03-12,30,4
15,4,2024-03-12,60,4
17,5,2024-03-12,200,4
18,5,2024-03-12,100,4
19,5,2024-03-12,100,4
order_id,customer_id,order_date,total_amount,status_id
1,1,2024-02-20,50,2
2,2,2024-02-20,30,1
9,1,2024-03-12,30,4
10,2,2024-03-12,20,4
11,2,2024-03-12,35,4
12,2,2024-03-12,25,4
13,4,2024-03-12,30,4
14,4,2024-03-12,30,4
15,4,2024-03-12,60,4
17,5,2024-03-12,200,4
18,5,2024-03-12,100,4
19,5,2024-03-12,100,4
